PERMNO,date,TICKER,RET
13407,12/06/2020,FB,0.018491
13407,15/06/2020,FB,0.017149
13407,16/06/2020,FB,0.013548
13407,17/06/2020,FB,-0.000509
13407,18/06/2020,FB,0.001741
13407,19/06/2020,FB,0.012079
13407,22/06/2020,FB,0.001801
13407,23/06/2020,FB,0.012624
13407,24/06/2020,FB,-0.033933
13407,25/06/2020,FB,0.007093
13407,26/06/2020,FB,-0.083164
13407,29/06/2020,FB,0.021103
13407,30/06/2020,FB,0.029143
13407,01/07/2020,FB,0.046153
13407,02/07/2020,FB,-0.017386
13407,06/07/2020,FB,0.029389
13407,07/07/2020,FB,0.002414
13407,08/07/2020,FB,0.011293
13407,09/07/2020,FB,0.003777
13407,10/07/2020,FB,0.002331
13407,13/07/2020,FB,-0.024768
13407,14/07/2020,FB,0.003054
13407,15/07/2020,FB,0.002294
13407,16/07/2020,FB,0.002705
13407,17/07/2020,FB,0.004566
13407,20/07/2020,FB,0.014007
13407,21/07/2020,FB,-0.014954
13407,22/07/2020,FB,-0.007777
13407,23/07/2020,FB,-0.030308
13407,24/07/2020,FB,-0.008126
13407,27/07/2020,FB,0.012093
13407,28/07/2020,FB,-0.014475
13407,29/07/2020,FB,0.013775
13407,30/07/2020,FB,0.005187
13407,31/07/2020,FB,0.081748
13407,03/08/2020,FB,-0.006741
13407,04/08/2020,FB,-0.008454
13407,05/08/2020,FB,-0.002842
13407,06/08/2020,FB,0.064868
13407,07/08/2020,FB,0.011912
13407,10/08/2020,FB,-0.020265
13407,11/08/2020,FB,-0.026122
13407,12/08/2020,FB,0.014680
13407,13/08/2020,FB,0.005425
13407,14/08/2020,FB,-0.000230
13407,17/08/2020,FB,-0.000306
13407,18/08/2020,FB,0.004518
13407,19/08/2020,FB,0.000953
13407,20/08/2020,FB,0.024449
13407,21/08/2020,FB,-0.007435
13407,24/08/2020,FB,0.016404
13407,25/08/2020,FB,0.034747
13407,26/08/2020,FB,0.082223
13407,27/08/2020,FB,-0.035175
13407,28/08/2020,FB,0.001501
13407,31/08/2020,FB,-0.001566
13407,01/09/2020,FB,0.007640
13407,02/09/2020,FB,0.023897
13407,03/09/2020,FB,-0.037620
13407,04/09/2020,FB,-0.028820
13407,08/09/2020,FB,-0.040922
13407,09/09/2020,FB,0.009441
13407,10/09/2020,FB,-0.020568
13407,11/09/2020,FB,-0.005521
13407,14/09/2020,FB,-0.001725
13407,15/09/2020,FB,0.023558
13407,16/09/2020,FB,-0.032670
13407,17/09/2020,FB,-0.033015
13407,18/09/2020,FB,-0.008987
13407,21/09/2020,FB,-0.017344
13407,22/09/2020,FB,0.026597
13407,23/09/2020,FB,-0.022493
13407,24/09/2020,FB,0.002048
13407,25/09/2020,FB,0.021200
13407,28/09/2020,FB,0.007849
13407,29/09/2020,FB,0.019352
13407,30/09/2020,FB,0.000420
13407,01/10/2020,FB,0.018060
13407,02/10/2020,FB,-0.025091
13407,05/10/2020,FB,0.018120
13407,06/10/2020,FB,-0.022634
13407,07/10/2020,FB,-0.002088
13407,08/10/2020,FB,0.021850
13407,09/10/2020,FB,0.002616
13407,12/10/2020,FB,0.042730
13407,13/10/2020,FB,0.001414
13407,14/10/2020,FB,-0.015644
13407,15/10/2020,FB,-0.018762
13407,16/10/2020,FB,-0.002962
13407,19/10/2020,FB,-0.017035
13407,20/10/2020,FB,0.023565
13407,21/10/2020,FB,0.041748
13407,22/10/2020,FB,-0.002189
13407,23/10/2020,FB,0.023983
13407,26/10/2020,FB,-0.026967
13407,27/10/2020,FB,0.022302
13407,28/10/2020,FB,-0.055138
13407,29/10/2020,FB,0.049165
13407,30/10/2020,FB,-0.063099
13407,02/11/2020,FB,-0.006651
13407,03/11/2020,FB,0.015075
13407,04/11/2020,FB,0.083227
13407,05/11/2020,FB,0.025402
13407,06/11/2020,FB,-0.004310
13407,09/11/2020,FB,-0.049896
13407,10/11/2020,FB,-0.022743
13407,11/11/2020,FB,0.014866
13407,12/11/2020,FB,-0.005064
13407,13/11/2020,FB,0.006798
13407,16/11/2020,FB,0.007258
13407,17/11/2020,FB,-0.014196
13407,18/11/2020,FB,-0.011018
13407,19/11/2020,FB,0.003567
13407,20/11/2020,FB,-0.011871
13407,23/11/2020,FB,-0.004709
13407,24/11/2020,FB,0.031628
13407,25/11/2020,FB,-0.004803
13407,27/11/2020,FB,0.008055
13407,30/11/2020,FB,-0.003024
13407,01/12/2020,FB,0.034589
13407,02/12/2020,FB,0.003385
13407,03/12/2020,FB,-0.019720
13407,04/12/2020,FB,-0.007628
13407,07/12/2020,FB,0.021022
13407,08/12/2020,FB,-0.007634
13407,09/12/2020,FB,-0.019337
13407,10/12/2020,FB,-0.002879
13407,11/12/2020,FB,-0.012883
13407,14/12/2020,FB,0.002340
13407,15/12/2020,FB,0.004960
13407,16/12/2020,FB,0.000436
13407,17/12/2020,FB,-0.004317
13407,18/12/2020,FB,0.006995
13407,21/12/2020,FB,-0.013061
